Taluka,City_Village,Area_Type,Land_Type,Buyer_Gender,Area_sqft,Rate_per_sqft,Land_Cost,Stamp_Duty_Percent,Stamp_Duty_Amount,Registration_Percent,Registration_Amount,Total_Price,Flood_Risk,Crime_Level,Market_Access,School_Access,Hospital_Access,Growth_Rate,Distance_to_City_Center,Distance_to_Highway
Chandgad,Kudnur,Rural,Agricultural,Female,3000,330,990000,2,19800,1,9900,1019700,Medium,Low,5,5,4,0.04,34.0,9.0
Shirol,Nrusinhawadi,Rural,Industrial,Male,2500,1380,3450000,3,103500,1,30000,3583500,High,Low,5,5,4,0.04,40.0,17.0
Karveer,Shiroli,Semi-Urban,Residential,Male,4000,3140,12560000,4,502400,1,30000,13092400,High,Medium,8,6,6,0.09,10.0,2.0
Karveer,Kalamba,Semi-Urban,Industrial,Female,2000,2540,5080000,3,152400,1,30000,5262400,Low,Low,8,8,8,0.11,3.5,4.0
Ajra,Zulapewadi,Rural,Agricultural,Male,1900,200,380000,3,11400,1,3800,395200,High,Low,4,4,3,0.03,37.0,11.0
Gadhinglaj,Mahagoan,Rural,Residential,Male,10000,830,8300000,3,249000,1,30000,8579000,Medium,Low,5,5,4,0.04,35.0,10.0
Karveer,Shiroli,Semi-Urban,Residential,Male,1400,3190,4466000,4,178640,1,30000,4674640,High,Medium,8,6,6,0.09,10.0,2.0
Hatkanangale,Alas,Rural,Residential,Female,2700,960,2592000,2,51840,1,25920,2669760,High,Low,4,4,4,0.03,25.0,22.0
Shahuwadi,Sarud,Rural,Commercial,Male,6000,470,2820000,3,84600,1,28200,2932800,High,Low,4,4,3,0.03,33.0,9.0
Karveer,Shiroli,Semi-Urban,Commercial,Female,1300,3470,4511000,3,135330,1,30000,4676330,High,Medium,8,6,6,0.09,10.0,2.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Male,6000,2350,14100000,4,564000,1,30000,14694000,Low,Medium,7,6,6,0.05,20.0,5.0
Hatkanangale,Hupari,Semi-Urban,Commercial,Female,5000,2930,14650000,3,439500,1,30000,15119500,Medium,Low,6,6,6,0.08,20.0,25.0
Shahuwadi,Amba,Rural,Agricultural,Male,2100,200,420000,3,12600,1,4200,436800,High,Low,4,4,3,0.03,35.0,9.0
Ajra,Zulapewadi,Rural,Agricultural,Female,7000,200,1400000,2,28000,1,14000,1442000,High,Low,4,4,3,0.03,37.0,11.0
Radhanagari,Ghotawade,Rural,Commercial,Female,1700,450,765000,2,15300,1,7650,787950,High,Low,4,4,3,0.03,38.0,12.0
Chandgad,Kowad,Rural,Residential,Male,2700,400,1080000,3,32400,1,10800,1123200,High,Low,4,4,3,0.03,38.0,11.0
Gaganbawada,Bhuibawada,Rural,Agricultural,Male,7000,320,2240000,3,67200,1,22400,2329600,Medium,Low,5,5,4,0.04,38.0,11.0
Panhala,Kale,Semi-Urban,Residential,Male,5500,1960,10780000,4,431200,1,30000,11241200,Low,Low,6,6,6,0.05,20.0,5.0
Shahuwadi,Charan,Rural,Agricultural,Male,2700,340,918000,3,27540,1,9180,954720,Medium,Low,5,5,5,0.04,30.0,8.0
Gaganbawada,Salwan,Rural,Residential,Female,5500,330,1815000,2,36300,1,18150,1869450,High,Low,4,4,3,0.03,42.0,12.0
Ajra,Zulapewadi,Rural,Agricultural,Female,6000,200,1200000,2,24000,1,12000,1236000,High,Low,4,4,3,0.03,37.0,11.0
Karveer,Shiroli,Semi-Urban,Industrial,Female,5000,2450,12250000,3,367500,1,30000,12647500,High,Medium,8,6,6,0.09,10.0,2.0
Hatkanangale,Ichalkaranji,Urban,Residential,Male,1600,3250,5200000,6,312000,1,30000,5542000,Medium,Medium,8,8,7,0.1,25.0,22.0
Hatkanangale,Talsande,Semi-Urban,Industrial,Male,4500,1820,8190000,4,327600,1,30000,8547600,Low,Low,6,6,6,0.07,18.0,16.0
Kagal,Bidri,Rural,Residential,Male,7000,1230,8610000,3,258300,1,30000,8898300,Medium,Low,5,5,5,0.03,30.0,18.0
Shirol,Jaysingpur,Semi-Urban,Commercial,Female,1800,3410,6138000,3,184140,1,30000,6352140,Medium,Low,7,7,7,0.06,35.0,25.0
Karveer,Gokul Shirgaon,Semi-Urban,Industrial,Female,2600,1510,3926000,3,117780,1,30000,4073780,Low,Low,7,7,6,0.07,8.0,4.0
Ajra,Zulapewadi,Rural,Residential,Male,2700,370,999000,3,29970,1,9990,1038960,High,Low,4,4,3,0.03,37.0,11.0
Shirol,Lat,Rural,Residential,Male,3000,880,2640000,3,79200,1,26400,2745600,High,Low,4,4,4,0.03,38.0,15.0
Kagal,Sangaon,Rural,Residential,Male,2100,1200,2520000,3,75600,1,25200,2620800,Medium,Low,5,5,5,0.04,25.0,14.0
Gadhinglaj,Mahagoan,Rural,Residential,Male,3000,830,2490000,3,74700,1,24900,2589600,Medium,Low,5,5,4,0.04,35.0,10.0
Shahuwadi,Amba,Rural,Industrial,Male,2700,360,972000,3,29160,1,9720,1010880,High,Low,4,4,3,0.03,35.0,9.0
Karveer,Rajarampuri,Urban,Commercial,Male,4800,7790,37392000,6,2243520,1,30000,39665520,Medium,Low,9,9,9,0.12,2.0,10.0
Bhudargad,Gargoti,Semi-Urban,Industrial,Male,3800,1500,5700000,4,228000,1,30000,5958000,Low,Medium,6,6,6,0.05,22.0,6.0
Shirol,Jaysingpur,Semi-Urban,Residential,Male,3000,2530,7590000,4,303600,1,30000,7923600,Medium,Low,7,7,7,0.06,35.0,25.0
Gadhinglaj,Basarge,Rural,Residential,Female,10000,820,8200000,2,164000,1,30000,8394000,Medium,Low,5,5,5,0.04,30.0,7.0
Gaganbawada,Vesarde,Rural,Residential,Female,9000,310,2790000,2,55800,1,27900,2873700,High,Low,4,4,3,0.03,44.0,13.0
Shirol,Herwad,Rural,Residential,Male,2700,1580,4266000,3,127980,1,30000,4423980,Medium,Low,5,5,5,0.04,22.0,6.0
Radhanagari,Tarale,Rural,Residential,Male,3000,810,2430000,3,72900,1,24300,2527200,Medium,Low,5,5,4,0.04,33.0,10.0
Gadhinglaj,Mungurwadi,Rural,Residential,Male,6000,820,4920000,3,147600,1,30000,5097600,Low,Low,5,5,5,0.04,32.0,8.0
Gaganbawada,Bhuibawada,Rural,Residential,Female,7000,820,5740000,2,114800,1,30000,5884800,Medium,Low,5,5,4,0.04,38.0,11.0
Gadhinglaj,Mungurwadi,Rural,Residential,Female,10000,890,8900000,2,178000,1,30000,9108000,Low,Low,5,5,5,0.04,32.0,8.0
Radhanagari,Rajapur,Rural,Industrial,Male,1500,660,990000,3,29700,1,9900,1029600,Medium,Low,4,4,4,0.04,37.0,11.0
Karveer,Kalamba,Semi-Urban,Commercial,Male,2600,3620,9412000,4,376480,1,30000,9818480,Low,Low,8,8,8,0.11,3.5,4.0
Shirol,Herwad,Rural,Residential,Female,2700,1380,3726000,2,74520,1,30000,3830520,Medium,Low,5,5,5,0.04,22.0,6.0
Karveer,Gandhinagar,Urban,Commercial,Female,4200,3470,14574000,5,728700,1,30000,15332700,Low,Low,8,8,8,0.08,3.0,6.0
Shirol,Herwad,Rural,Agricultural,Male,4000,630,2520000,3,75600,1,25200,2620800,Medium,Low,5,5,5,0.04,22.0,6.0
Bhudargad,Waghapur,Rural,Residential,Male,6000,780,4680000,3,140400,1,30000,4850400,Medium,Low,4,4,4,0.04,29.0,7.0
Kagal,Bidri,Rural,Agricultural,Female,8000,460,3680000,2,73600,1,30000,3783600,Medium,Low,5,5,5,0.03,30.0,18.0
Shahuwadi,Amba,Rural,Agricultural,Male,1900,200,380000,3,11400,1,3800,395200,High,Low,4,4,3,0.03,35.0,9.0
Chandgad,Kowad,Rural,Residential,Female,9000,420,3780000,2,75600,1,30000,3885600,High,Low,4,4,3,0.03,38.0,11.0
Kagal,Sangaon,Rural,Residential,Male,9000,1310,11790000,3,353700,1,30000,12173700,Medium,Low,5,5,5,0.04,25.0,14.0
Karveer,Gandhinagar,Urban,Commercial,Male,2000,3240,6480000,6,388800,1,30000,6898800,Low,Low,8,8,8,0.08,3.0,6.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Residential,Male,3400,2200,7480000,4,299200,1,30000,7809200,Medium,Low,6,6,6,0.07,16.0,14.0
Chandgad,Kudnur,Rural,Residential,Male,5000,780,3900000,3,117000,1,30000,4047000,Medium,Low,5,5,4,0.04,34.0,9.0
Kagal,Bidri,Rural,Agricultural,Male,5000,510,2550000,3,76500,1,25500,2652000,Medium,Low,5,5,5,0.03,30.0,18.0
Kagal,Bidri,Rural,Residential,Female,6000,1230,7380000,2,147600,1,30000,7557600,Medium,Low,5,5,5,0.03,30.0,18.0
Radhanagari,Ghotawade,Rural,Residential,Female,6000,350,2100000,2,42000,1,21000,2163000,High,Low,4,4,3,0.03,38.0,12.0
Bhudargad,Waghapur,Rural,Residential,Female,10000,820,8200000,2,164000,1,30000,8394000,Medium,Low,4,4,4,0.04,29.0,7.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Residential,Female,1900,2260,4294000,3,128820,1,30000,4452820,Medium,Low,6,6,6,0.07,16.0,14.0
Gadhinglaj,Harali,Rural,Commercial,Male,2700,870,2349000,3,70470,1,23490,2442960,Low,Low,4,4,4,0.03,45.0,15.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,2100,370,777000,2,15540,1,7770,800310,Medium,Low,5,5,4,0.04,35.0,10.0
Hatkanangale,Ichalkaranji,Urban,Industrial,Male,1700,2940,4998000,6,299880,1,30000,5327880,Medium,Medium,8,8,7,0.1,25.0,22.0
Shirol,Herwad,Rural,Residential,Female,3500,1460,5110000,2,102200,1,30000,5242200,Medium,Low,5,5,5,0.04,22.0,6.0
Shirol,Nrusinhawadi,Rural,Residential,Female,7000,1680,11760000,2,235200,1,30000,12025200,High,Low,5,5,4,0.04,40.0,17.0
Karveer,Kalamba,Semi-Urban,Residential,Male,5000,2530,12650000,4,506000,1,30000,13186000,Low,Low,8,8,8,0.11,3.5,4.0
Bhudargad,Patgaon,Rural,Agricultural,Female,7000,200,1400000,2,28000,1,14000,1442000,Medium,Low,4,4,4,0.03,32.0,8.0
Bhudargad,Pimpalgoan,Rural,Agricultural,Male,4500,200,900000,3,27000,1,9000,936000,Medium,Low,4,4,4,0.03,30.0,8.0
Hatkanangale,Vathar,Semi-Urban,Residential,Male,3400,1840,6256000,4,250240,1,30000,6536240,Low,Low,5,5,5,0.06,19.0,17.0
Ajra,Dewarde,Rural,Agricultural,Male,7000,290,2030000,3,60900,1,20300,2111200,Medium,Low,4,4,4,0.04,35.0,10.0
Shirol,Jaysingpur,Semi-Urban,Residential,Female,5000,2510,12550000,3,376500,1,30000,12956500,Medium,Low,7,7,7,0.06,35.0,25.0
Shirol,Shirol,Semi-Urban,Commercial,Female,1000,2480,2480000,3,74400,1,24800,2579200,High,Medium,7,7,8,0.06,40.0,4.0
Chandgad,Kowad,Rural,Agricultural,Male,8000,200,1600000,3,48000,1,16000,1664000,High,Low,4,4,3,0.03,38.0,11.0
Hatkanangale,Alas,Rural,Agricultural,Male,5000,400,2000000,3,60000,1,20000,2080000,High,Low,4,4,4,0.03,25.0,22.0
Bhudargad,Waghapur,Rural,Agricultural,Male,6000,330,1980000,3,59400,1,19800,2059200,Medium,Low,4,4,4,0.04,29.0,7.0
Karveer,Nagala Park,Urban,Commercial,Female,2800,7970,22316000,5,1115800,1,30000,23461800,Medium,Low,9,9,9,0.12,2.2,8.0
Radhanagari,Rajapur,Rural,Residential,Female,3000,650,1950000,2,39000,1,19500,2008500,Medium,Low,4,4,4,0.04,37.0,11.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Industrial,Female,4500,1620,7290000,3,218700,1,30000,7538700,Medium,Low,6,6,6,0.07,16.0,14.0
Karveer,Shiye,Semi-Urban,Residential,Female,4000,2180,8720000,3,261600,1,30000,9011600,Low,Low,8,7,7,0.09,5.0,3.0
Karveer,Kalamba,Semi-Urban,Residential,Female,4000,3070,12280000,3,368400,1,30000,12678400,Low,Low,8,8,8,0.11,3.5,4.0
Radhanagari,Tarale,Rural,Commercial,Male,4000,1010,4040000,3,121200,1,30000,4191200,Medium,Low,5,5,4,0.04,33.0,10.0
Kagal,Kapashi,Rural,Residential,Male,6000,1020,6120000,3,183600,1,30000,6333600,Medium,Low,5,5,5,0.04,28.0,12.0
Gaganbawada,Vesarde,Rural,Agricultural,Male,5000,200,1000000,3,30000,1,10000,1040000,High,Low,4,4,3,0.03,44.0,13.0
Panhala,Kodoli,Semi-Urban,Residential,Female,3400,2440,8296000,3,248880,1,30000,8574880,Low,Medium,7,7,6,0.06,16.0,3.0
Hatkanangale,Alas,Rural,Agricultural,Female,9000,440,3960000,2,79200,1,30000,4069200,High,Low,4,4,4,0.03,25.0,22.0
Kagal,Kagal,Semi-Urban,Residential,Male,4500,2600,11700000,4,468000,1,30000,12198000,Low,Low,8,8,7,0.01,22.0,5.0
Ajra,Zulapewadi,Rural,Agricultural,Male,7000,200,1400000,3,42000,1,14000,1456000,High,Low,4,4,3,0.03,37.0,11.0
Ajra,Zulapewadi,Rural,Agricultural,Female,4500,200,900000,2,18000,1,9000,927000,High,Low,4,4,3,0.03,37.0,11.0
Gaganbawada,Sakhari,Rural,Residential,Female,3500,700,2450000,2,49000,1,24500,2523500,High,Low,4,4,4,0.04,40.0,12.0
Chandgad,Chandgad,Rural,Residential,Male,4500,850,3825000,3,114750,1,30000,3969750,Medium,Low,5,5,5,0.04,35.0,9.0
Panhala,Warnanagar,Semi-Urban,Industrial,Male,5000,2460,12300000,4,492000,1,30000,12822000,Low,Medium,8,7,7,0.06,15.0,2.0
Chandgad,Chandgad,Rural,Residential,Female,2700,940,2538000,2,50760,1,25380,2614140,Medium,Low,5,5,5,0.04,35.0,9.0
Shahuwadi,Bambavade,Rural,Residential,Female,7000,880,6160000,2,123200,1,30000,6313200,Medium,Low,5,5,5,0.04,28.0,7.0
Gaganbawada,Salwan,Rural,Residential,Female,4500,370,1665000,2,33300,1,16650,1714950,High,Low,4,4,3,0.03,42.0,12.0
Kagal,Kapashi,Rural,Commercial,Female,4000,1330,5320000,2,106400,1,30000,5456400,Medium,Low,5,5,5,0.04,28.0,12.0
Hatkanangale,Hupari,Semi-Urban,Residential,Male,2600,2440,6344000,4,253760,1,30000,6627760,Medium,Low,6,6,6,0.08,20.0,25.0
Chandgad,Chandgad,Rural,Agricultural,Female,10000,370,3700000,2,74000,1,30000,3804000,Medium,Low,5,5,5,0.04,35.0,9.0
Kagal,Siddhanerli,Rural,Industrial,Male,2500,1020,2550000,3,76500,1,25500,2652000,Low,Low,5,5,5,0.06,26.0,13.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Male,1900,2320,4408000,4,176320,1,30000,4614320,Low,Medium,6,6,6,0.05,22.0,6.0
Shahuwadi,Sarud,Rural,Residential,Female,10000,370,3700000,2,74000,1,30000,3804000,High,Low,4,4,3,0.03,33.0,9.0
Radhanagari,Dhamod,Rural,Residential,Female,9000,750,6750000,2,135000,1,30000,6915000,Medium,Low,4,4,4,0.04,36.0,11.0
Gadhinglaj,Harali,Rural,Agricultural,Female,6000,320,1920000,2,38400,1,19200,1977600,Low,Low,4,4,4,0.03,45.0,15.0
Ajra,Uttur,Rural,Commercial,Female,10000,1110,11100000,2,222000,1,30000,11352000,Medium,Low,5,5,5,0.04,32.0,9.0
Kagal,Kapashi,Rural,Commercial,Female,1500,1550,2325000,2,46500,1,23250,2394750,Medium,Low,5,5,5,0.04,28.0,12.0
Hatkanangale,Rukadi,Rural,Agricultural,Female,5000,690,3450000,2,69000,1,30000,3549000,Low,Low,5,5,5,0.04,15.0,13.0
Karveer,Shiye,Semi-Urban,Commercial,Female,2600,3060,7956000,3,238680,1,30000,8224680,Low,Low,8,7,7,0.09,5.0,3.0
Karveer,Uchgaon,Semi-Urban,Industrial,Male,2200,2420,5324000,4,212960,1,30000,5566960,Low,Low,8,8,7,0.15,4.0,2.0
Chandgad,Tilari,Rural,Agricultural,Male,7000,200,1400000,3,42000,1,14000,1456000,High,Low,4,4,3,0.03,40.0,10.0
Ajra,Dewarde,Rural,Agricultural,Male,2300,330,759000,3,22770,1,7590,789360,Medium,Low,4,4,4,0.04,35.0,10.0
Gaganbawada,Salwan,Rural,Agricultural,Female,4000,200,800000,2,16000,1,8000,824000,High,Low,4,4,3,0.03,42.0,12.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Female,5500,2130,11715000,3,351450,1,30000,12096450,Low,Medium,7,6,6,0.05,20.0,5.0
Chandgad,Chandgad,Rural,Agricultural,Female,5000,350,1750000,2,35000,1,17500,1802500,Medium,Low,5,5,5,0.04,35.0,9.0
Ajra,Ningudage,Rural,Commercial,Male,2300,510,1173000,3,35190,1,11730,1219920,High,Low,4,4,4,0.03,36.0,10.0
Ajra,Ajra,Rural,Agricultural,Female,8000,370,2960000,2,59200,1,29600,3048800,Medium,Low,5,5,5,0.04,30.0,8.0
Gaganbawada,Salwan,Rural,Agricultural,Female,2100,200,420000,2,8400,1,4200,432600,High,Low,4,4,3,0.03,42.0,12.0
Shirol,Shirol,Semi-Urban,Commercial,Female,5000,2610,13050000,3,391500,1,30000,13471500,High,Medium,7,7,8,0.06,40.0,4.0
Kagal,Murgud,Semi-Urban,Residential,Male,1700,1570,2669000,4,106760,1,26690,2802450,Low,Low,6,6,5,0.05,39.0,20.0
Bhudargad,Kadgaon,Rural,Residential,Female,5500,830,4565000,2,91300,1,30000,4686300,Medium,Low,5,5,5,0.04,28.0,7.0
Karveer,Shiroli,Semi-Urban,Residential,Female,2000,3010,6020000,3,180600,1,30000,6230600,High,Medium,8,6,6,0.09,10.0,2.0
Radhanagari,Radhanagari,Rural,Residential,Male,2700,1020,2754000,3,82620,1,27540,2864160,High,Low,5,5,5,0.04,35.0,9.0
Shirol,Yadrav,Rural,Agricultural,Male,1700,600,1020000,3,30600,1,10200,1060800,Medium,Low,5,5,5,0.04,30.0,10.0
Karveer,Shivaji Peth,Urban,Residential,Male,3800,6160,23408000,6,1404480,1,30000,24842480,High,Low,9,8,9,0.07,1.0,7.0
Gadhinglaj,Harali,Rural,Residential,Male,8000,750,6000000,3,180000,1,30000,6210000,Low,Low,4,4,4,0.03,45.0,15.0
Bhudargad,Pimpalgoan,Rural,Residential,Male,1500,450,675000,3,20250,1,6750,702000,Medium,Low,4,4,4,0.03,30.0,8.0
Karveer,Gandhinagar,Urban,Residential,Male,1200,2260,2712000,6,162720,1,27120,2901840,Low,Low,8,8,8,0.08,3.0,6.0
Karveer,Shivaji Peth,Urban,Commercial,Male,1200,8070,9684000,6,581040,1,30000,10295040,High,Low,9,8,9,0.07,1.0,7.0
Ajra,Zulapewadi,Rural,Industrial,Female,2100,310,651000,2,13020,1,6510,670530,High,Low,4,4,3,0.03,37.0,11.0
Gadhinglaj,Mungurwadi,Rural,Commercial,Male,6000,1140,6840000,3,205200,1,30000,7075200,Low,Low,5,5,5,0.04,32.0,8.0
Shahuwadi,Sarud,Rural,Commercial,Male,6000,530,3180000,3,95400,1,30000,3305400,High,Low,4,4,3,0.03,33.0,9.0
Bhudargad,Waghapur,Rural,Residential,Female,7000,840,5880000,2,117600,1,30000,6027600,Medium,Low,4,4,4,0.04,29.0,7.0
Bhudargad,Kadgaon,Rural,Agricultural,Female,2300,390,897000,2,17940,1,8970,923910,Medium,Low,5,5,5,0.04,28.0,7.0
Bhudargad,Pimpalgoan,Rural,Agricultural,Male,1700,200,340000,3,10200,1,3400,353600,Medium,Low,4,4,4,0.03,30.0,8.0
Bhudargad,Kadgaon,Rural,Agricultural,Female,10000,400,4000000,2,80000,1,30000,4110000,Medium,Low,5,5,5,0.04,28.0,7.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Male,1100,2230,2453000,4,98120,1,24530,2575650,Low,Medium,6,6,6,0.05,22.0,6.0
Radhanagari,Radhanagari,Rural,Industrial,Female,2500,930,2325000,2,46500,1,23250,2394750,High,Low,5,5,5,0.04,35.0,9.0
Radhanagari,Dhamod,Rural,Residential,Female,5000,780,3900000,2,78000,1,30000,4008000,Medium,Low,4,4,4,0.04,36.0,11.0
Gaganbawada,Sakhari,Rural,Residential,Female,6000,830,4980000,2,99600,1,30000,5109600,High,Low,4,4,4,0.04,40.0,12.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,2900,200,580000,3,17400,1,5800,603200,High,Low,4,4,3,0.03,38.0,12.0
Karveer,Gokul Shirgaon,Semi-Urban,Residential,Male,1600,1810,2896000,4,115840,1,28960,3040800,Low,Low,7,7,6,0.07,8.0,4.0
Hatkanangale,Alas,Rural,Agricultural,Female,8000,420,3360000,2,67200,1,30000,3457200,High,Low,4,4,4,0.03,25.0,22.0
Karveer,Tarabai Park,Urban,Residential,Female,1200,6310,7572000,5,378600,1,30000,7980600,Medium,Low,10,9,10,0.13,1.5,10.0
Gadhinglaj,Mungurwadi,Rural,Residential,Female,8000,820,6560000,2,131200,1,30000,6721200,Low,Low,5,5,5,0.04,32.0,8.0
Radhanagari,Dajipur,Rural,Agricultural,Male,6000,200,1200000,3,36000,1,12000,1248000,High,Low,4,4,3,0.03,40.0,12.0
Gaganbawada,Bhuibawada,Rural,Agricultural,Female,6000,300,1800000,2,36000,1,18000,1854000,Medium,Low,5,5,4,0.04,38.0,11.0
Shahuwadi,Amba,Rural,Industrial,Male,3000,330,990000,3,29700,1,9900,1029600,High,Low,4,4,3,0.03,35.0,9.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Male,2000,2080,4160000,4,166400,1,30000,4356400,Low,Medium,6,6,6,0.05,17.0,15.0
Shahuwadi,Bambavade,Rural,Residential,Female,10000,960,9600000,2,192000,1,30000,9822000,Medium,Low,5,5,5,0.04,28.0,7.0
Gadhinglaj,Mungurwadi,Rural,Residential,Female,1500,790,1185000,2,23700,1,11850,1220550,Low,Low,5,5,5,0.04,32.0,8.0
Gaganbawada,Bhuibawada,Rural,Residential,Female,4000,780,3120000,2,62400,1,30000,3212400,Medium,Low,5,5,4,0.04,38.0,11.0
Gadhinglaj,Harali,Rural,Residential,Female,8000,700,5600000,2,112000,1,30000,5742000,Low,Low,4,4,4,0.03,45.0,15.0
Shahuwadi,Charan,Rural,Residential,Female,2300,750,1725000,2,34500,1,17250,1776750,Medium,Low,5,5,5,0.04,30.0,8.0
Chandgad,Kowad,Rural,Agricultural,Female,1900,200,380000,2,7600,1,3800,391400,High,Low,4,4,3,0.03,38.0,11.0
Gadhinglaj,Harali,Rural,Residential,Female,7000,710,4970000,2,99400,1,30000,5099400,Low,Low,4,4,4,0.03,45.0,15.0
Kagal,Bidri,Rural,Commercial,Male,8000,1680,13440000,3,403200,1,30000,13873200,Medium,Low,5,5,5,0.03,30.0,18.0
Gaganbawada,Vesarde,Rural,Agricultural,Female,3000,200,600000,2,12000,1,6000,618000,High,Low,4,4,3,0.03,44.0,13.0
Ajra,Ningudage,Rural,Agricultural,Female,10000,200,2000000,2,40000,1,20000,2060000,High,Low,4,4,4,0.03,36.0,10.0
Gaganbawada,Bhuibawada,Rural,Agricultural,Male,5000,300,1500000,3,45000,1,15000,1560000,Medium,Low,5,5,4,0.04,38.0,11.0
Bhudargad,Patgaon,Rural,Agricultural,Male,4500,200,900000,3,27000,1,9000,936000,Medium,Low,4,4,4,0.03,32.0,8.0
Bhudargad,Waghapur,Rural,Industrial,Female,1500,700,1050000,2,21000,1,10500,1081500,Medium,Low,4,4,4,0.04,29.0,7.0
Radhanagari,Dajipur,Rural,Agricultural,Male,2700,200,540000,3,16200,1,5400,561600,High,Low,4,4,3,0.03,40.0,12.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Male,900,4420,3978000,6,238680,1,30000,4246680,Medium,Medium,8,8,7,0.1,25.0,22.0
Shirol,Jaysingpur,Semi-Urban,Residential,Male,1700,2720,4624000,4,184960,1,30000,4838960,Medium,Low,7,7,7,0.06,35.0,25.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Male,1900,2290,4351000,4,174040,1,30000,4555040,Low,Medium,6,6,6,0.05,22.0,6.0
Bhudargad,Waghapur,Rural,Residential,Female,4500,840,3780000,2,75600,1,30000,3885600,Medium,Low,4,4,4,0.04,29.0,7.0
Bhudargad,Pimpalgoan,Rural,Agricultural,Female,5000,200,1000000,2,20000,1,10000,1030000,Medium,Low,4,4,4,0.03,30.0,8.0
Karveer,Shivaji Peth,Urban,Residential,Male,3200,5910,18912000,6,1134720,1,30000,20076720,High,Low,9,8,9,0.07,1.0,7.0
Gadhinglaj,Halkarni,Rural,Agricultural,Male,2500,420,1050000,3,31500,1,10500,1092000,Low,Low,6,7,4,0.03,60.0,12.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,8000,200,1600000,3,48000,1,16000,1664000,High,Low,4,4,3,0.03,38.0,12.0
Shirol,Jaysingpur,Semi-Urban,Industrial,Male,1400,2300,3220000,4,128800,1,30000,3378800,Medium,Low,7,7,7,0.06,35.0,25.0
Shirol,Shirol,Semi-Urban,Industrial,Female,1200,1850,2220000,3,66600,1,22200,2308800,High,Medium,7,7,8,0.06,40.0,4.0
Panhala,Kale,Semi-Urban,Residential,Female,1800,2130,3834000,3,115020,1,30000,3979020,Low,Low,6,6,6,0.05,20.0,5.0
Ajra,Dewarde,Rural,Commercial,Male,1500,970,1455000,3,43650,1,14550,1513200,Medium,Low,4,4,4,0.04,35.0,10.0
Shahuwadi,Amba,Rural,Commercial,Male,1500,560,840000,3,25200,1,8400,873600,High,Low,4,4,3,0.03,35.0,9.0
Gadhinglaj,Mungurwadi,Rural,Agricultural,Male,5000,320,1600000,3,48000,1,16000,1664000,Low,Low,5,5,5,0.04,32.0,8.0
Bhudargad,Kadgaon,Rural,Agricultural,Female,8000,410,3280000,2,65600,1,30000,3375600,Medium,Low,5,5,5,0.04,28.0,7.0
Bhudargad,Admapur,Rural,Industrial,Female,1900,690,1311000,2,26220,1,13110,1350330,Low,Low,5,5,5,0.04,26.0,6.0
Radhanagari,Dhamod,Rural,Agricultural,Male,2300,300,690000,3,20700,1,6900,717600,Medium,Low,4,4,4,0.04,36.0,11.0
Karveer,Nagala Park,Urban,Commercial,Female,2000,7220,14440000,5,722000,1,30000,15192000,Medium,Low,9,9,9,0.12,2.2,8.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Female,3600,2370,8532000,3,255960,1,30000,8817960,Low,Medium,6,6,6,0.05,22.0,6.0
Gaganbawada,Gaganbawada,Rural,Commercial,Male,2500,1060,2650000,3,79500,1,26500,2756000,High,Low,5,5,4,0.04,36.0,10.0
Ajra,Dewarde,Rural,Agricultural,Male,2100,310,651000,3,19530,1,6510,677040,Medium,Low,4,4,4,0.04,35.0,10.0
Gadhinglaj,Nesari,Rural,Residential,Male,6000,1030,6180000,3,185400,1,30000,6395400,Low,Low,6,6,6,0.04,50.0,20.0
Hatkanangale,Alas,Rural,Residential,Female,8000,1000,8000000,2,160000,1,30000,8190000,High,Low,4,4,4,0.03,25.0,22.0
Shirol,Shirol,Semi-Urban,Residential,Female,1800,1820,3276000,3,98280,1,30000,3404280,High,Medium,7,7,8,0.06,40.0,4.0
Chandgad,Here,Rural,Agricultural,Female,4000,350,1400000,2,28000,1,14000,1442000,Medium,Low,4,4,4,0.04,36.0,10.0
Gadhinglaj,Kadgaon,Rural,Agricultural,Female,4000,400,1600000,2,32000,1,16000,1648000,Medium,Low,5,5,5,0.04,30.0,7.0
Radhanagari,Dajipur,Rural,Commercial,Male,2700,400,1080000,3,32400,1,10800,1123200,High,Low,4,4,3,0.03,40.0,12.0
Bhudargad,Kadgaon,Rural,Agricultural,Female,6000,350,2100000,2,42000,1,21000,2163000,Medium,Low,5,5,5,0.04,28.0,7.0
Chandgad,Chandgad,Rural,Residential,Male,1900,970,1843000,3,55290,1,18430,1916720,Medium,Low,5,5,5,0.04,35.0,9.0
